game,capital,pnl,return
1,10362.418725968939,362.41872596893865,0.03624187259689386
2,8924.975929314958,-1437.4427966539808,-0.14374427966539807
3,8789.951432234731,-135.02449708022772,-0.013502449708022772
4,7448.175036741036,-1341.7763954936956,-0.13417763954936957
5,7873.3266426630835,425.15160592204734,0.04251516059220473
6,12385.340802702627,4512.014160039543,0.45120141600395425
7,9707.14545353244,-2678.1953491701884,-0.2678195349170188
8,8863.683807793379,-843.4616457390593,-0.08434616457390594
9,11925.370732342755,3061.6869245493763,0.3061686924549376
10,12143.115402190191,217.74466984743515,0.021774466984743515
11,4917.615749406,-7225.499652784191,-0.7225499652784191
12,3455.1192403020177,-1462.4965091039824,-0.14624965091039824
13,244.58539133749855,-3210.533848964519,-0.3210533848964519
14,4191.368020927538,3946.7826295900395,0.39467826295900393
15,-1324.1462924177304,-5515.514313345268,-0.5515514313345269
16,1055.8512701309924,2379.9975625487227,0.23799975625487227
17,-3780.377319601436,-4836.228589732428,-0.4836228589732428
18,-1807.1050024154006,1973.2723171860353,0.19732723171860353
19,-226.84268637348077,1580.2623160419198,0.158026231604192
20,-5433.5372374222625,-5206.694551048781,-0.5206694551048782
21,-12572.744994511697,-7139.207757089435,-0.7139207757089435
22,-10947.36384499114,1625.3811495205575,0.16253811495205575
23,-9133.056693168552,1814.3071518225875,0.18143071518225876
24,-7415.623110683852,1717.4335824846994,0.17174335824846995
25,-6648.516703065423,767.1064076184298,0.07671064076184297
26,-5960.654668960371,687.8620341050516,0.06878620341050516
27,-5152.428379422028,808.2262895383432,0.08082262895383431
28,-2244.8541439002584,2907.57423552177,0.290757423552177
29,-900.4067206629595,1344.4474232372988,0.13444474232372988
30,-4524.21554806735,-3623.8088274043903,-0.362380882740439
31,-6701.1817962994155,-2176.9662482320655,-0.21769662482320654
32,-2646.7911097662886,4054.390686533127,0.4054390686533127
33,-7314.947436152563,-4668.156326386274,-0.46681563263862735
34,-6637.504567881215,677.4428682713476,0.06774428682713476
35,-12407.665588787158,-5770.161020905944,-0.5770161020905944
36,-21506.122867090613,-9098.457278303456,-0.9098457278303457
37,-23691.43580728457,-2185.3129401939595,-0.21853129401939594
38,-30559.733778460533,-6868.297971175963,-0.6868297971175963
39,-32074.002463825203,-1514.268685364671,-0.1514268685364671
40,-29865.958994714372,2208.0434691108308,0.22080434691108308
41,-28991.932528091562,874.0264666228114,0.08740264666228115
42,-30681.726649015178,-1689.7941209236162,-0.1689794120923616
43,-25873.999216121214,4807.727432893965,0.48077274328939645
44,-23863.21273249438,2010.7864836268336,0.20107864836268335
45,-29798.562927566152,-5935.350195071772,-0.5935350195071771
46,-27572.789004029182,2225.77392353697,0.222577392353697
47,-27428.092001943805,144.69700208537765,0.014469700208537765
48,-30338.34078270901,-2910.2487807652037,-0.2910248780765204
49,-28688.514674475384,1649.8261082336262,0.16498261082336263
50,-21042.20936486377,7646.305309611612,0.7646305309611612
